Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-11-19;1.069,59;1.072,25;1.065,97;1.071,26;;
2018-11-16;1.069,79;1.079,87;1.069,4;1.076,57;;
2018-11-15;1.071,1;1.075,71;1.068,85;1.073,28;;
2018-11-14;1.064,57;1.076,42;1.060,42;1.071,94;;
2018-11-13;1.066,19;1.070,18;1.062,56;1.067,56;;
2018-11-12;1.074,61;1.075,42;1.065,59;1.065,6;;
2018-11-09;1.078,02;1.078,38;1.063,86;1.065,99;;
2018-11-08;1.073,74;1.074,13;1.068,29;1.070,96;;
2018-11-07;1.068,3;1.075,57;1.065,77;1.067,8;;
2018-11-06;1.077,76;1.081,47;1.070,68;1.073,63;;
2018-11-05;1.084,47;1.085,59;1.079,42;1.083,27;;
2018-11-02;1.081,06;1.082,84;1.077,39;1.079,89;;
2018-11-01;1.066,69;1.086,08;1.066,69;1.083,23;;
2018-10-31;1.080,2;1.080,62;1.070,94;1.073,79;;
2018-10-30;1.081,52;1.082,09;1.072,96;1.075,12;;
2018-10-29;1.085,02;1.085,36;1.076,32;1.080,92;;
2018-10-26;1.086,2;1.095,47;1.084,42;1.087,69;;
2018-10-25;1.081,44;1.085,49;1.075,85;1.079,38;;
2018-10-24;1.080,67;1.083,19;1.076,37;1.083,19;;
2018-10-23;1.065;1.080;1.064,59;1.071,78;;
2018-10-22;1.067,81;1.068,74;1.061,71;1.063,24;;
2018-10-19;1.068,73;1.072,91;1.066,49;1.069,49;;
2018-10-18;1.062,39;1.069,16;1.059,41;1.065,52;;
2018-10-17;1.061,82;1.066,15;1.058,75;1.060,12;;
2018-10-16;1.059,07;1.063,5;1.056,15;1.057,08;;
2018-10-15;1.054,28;1.064,86;1.053,87;1.059,44;;
2018-10-12;1.057,9;1.057,9;1.050,58;1.052,07;;
2018-10-11;1.032,15;1.059,46;1.029,33;1.057,74;;
2018-10-10;1.034,39;1.038,96;1.030,89;1.038,96;;
2018-10-09;1.039,81;1.042,29;1.035,3;1.040,51;;
2018-10-08;1.046,77;1.046,82;1.031,7;1.035,04;;
2018-10-05;1.042,7;1.047,96;1.040,62;1.045,61;;
2018-10-04;1.041,13;1.049,03;1.039,91;1.043,19;;
2018-10-03;1.042,05;1.046,29;1.036,37;1.036,88;;
2018-10-02;1.029,97;1.046,67;1.029,7;1.042,23;;
2018-10-01;1.025,44;1.027,02;1.021;1.024,27;;
2018-09-28;1.021,97;1.031,07;1.020,38;1.029,25;;
2018-09-27;1.020,7;1.023,88;1.010,08;1.010,35;;
2018-09-26;1.023,31;1.024,51;1.014,63;1.017,68;;
2018-09-25;1.017,94;1.021,61;1.016,61;1.019,97;;
2018-09-24;1.016,5;1.022,79;1.014,61;1.018,31;;
2018-09-21;1.026,78;1.029,85;1.014,02;1.019,7;;
2018-09-20;1.023;1.026,57;1.020,93;1.025,66;;
2018-09-19;1.026,69;1.033,81;1.026,69;1.031,98;;
2018-09-18;1.027,14;1.028,68;1.023,16;1.024,46;;
2018-09-17;1.023,27;1.032,28;1.022,91;1.029,42;;
2018-09-14;1.028,15;1.033,9;1.020,84;1.021,28;;
2018-09-13;1.038,37;1.043,54;1.033,03;1.033,97;;
2018-09-12;1.034,46;1.043,11;1.029,84;1.041,13;;
2018-09-11;1.032,66;1.036,12;1.026,39;1.035,7;;
2018-09-10;1.033,17;1.035,6;1.029,97;1.033,55;;
2018-09-07;1.033,04;1.035,89;1.027,91;1.029,66;;
2018-09-06;1.029;1.037,51;1.027,95;1.031,59;;
2018-09-05;1.028,77;1.034,65;1.028,37;1.033,31;;
2018-09-04;1.038,53;1.039,52;1.029,19;1.030,52;;
2018-09-03;1.031,52;1.037,05;1.030,46;1.034,67;;
2018-08-31;1.030,51;1.037,52;1.028,92;1.030,61;;
2018-08-30;1.031,89;1.033,12;1.023,43;1.026,24;;
2018-08-29;1.030;1.035,38;1.030;1.034,85;;
2018-08-28;1.034,63;1.036,97;1.024,57;1.025,74;;
2018-08-27;1.037,66;1.042,21;1.034,36;1.041,28;;
2018-08-24;1.022,95;1.042,84;1.021,3;1.040,8;;
2018-08-23;1.033,2;1.033,47;1.022,61;1.023,65;;
2018-08-22;1.030,17;1.034,3;1.027,04;1.029,22;;
2018-08-21;1.035,1;1.040,53;1.032,76;1.039,98;;
2018-08-20;1.036,59;1.042,74;1.035,89;1.042,51;;
2018-08-17;1.030,53;1.040,23;1.028,92;1.039,7;;
2018-08-16;1.033,89;1.039,53;1.020,92;1.032,67;;
2018-08-15;1.054,79;1.055,26;1.036,42;1.037,70;;
2018-08-14;1.046,84;1.050,85;1.045,35;1.046,84;;
2018-08-13;1.060,66;1.060,84;1.045,56;1.046,77;;
2018-08-10;1.058,44;1.062,37;1.052,68;1.057,35;;
2018-08-09;1.047,04;1.049,9;1.044,65;1.045,78;;
2018-08-08;1.045,16;1.049,01;1.041,44;1.047,33;;
2018-08-07;1.040,86;1.048,17;1.040,86;1.043,82;;
2018-08-06;1.052,93;1.055,11;1.045,58;1.046,02;;
2018-08-03;1.042,92;1.052,55;1.039,72;1.047,16;;
2018-08-02;1.047,07;1.051;1.039,24;1.039,64;;
2018-08-01;1.046,82;1.047,12;1.039,63;1.039,63;;
2018-07-31;1.040,96;1.046,06;1.035,55;1.042,68;;
2018-07-30;1.046,59;1.048,46;1.043,71;1.045,48;;
2018-07-27;1.052,31;1.055,61;1.047,5;1.051,99;;
2018-07-26;1.050,97;1.054,31;1.043,45;1.043,59;;
